filename,label,source,profile_path,dm,group_id
Fold_Binary_MSP_Search_DM97.00_Cand17,0,CSIRO_J0437,/mnt/c/Users/Albiona Shehu/Desktop/Pulsar Project/candidates_from_CSIRO/CSIRO_J0437/Profile/Fold_Binary_MSP_Search_DM97.00_Cand17_Profile.png,97.0,Fold_Binary_MSP_Search_DM97.00_Cand17
Fold_Binary_MSP_Search_DM66.60_Cand11,0,CSIRO_J0437,/mnt/c/Users/Albiona Shehu/Desktop/Pulsar Project/candidates_from_CSIRO/CSIRO_J0437/Profile/Fold_Binary_MSP_Search_DM66.60_Cand11_Profile.png,66.6,Fold_Binary_MSP_Search_DM66.60_Cand11
Fold_Iso_Slow_Search_DM199.00_Cand9,0,CSIRO_J1048,/mnt/c/Users/Albiona Shehu/Desktop/Pulsar Project/candidates_from_CSIRO/CSIRO_J1048/Profile/Fold_Iso_Slow_Search_DM199.00_Cand9_Profile.png,199.0,Fold_Iso_Slow_Search_DM199.00_Cand9
Fold_Binary_MSP_Search_DM26.90_Cand8,0,CSIRO_J0437,/mnt/c/Users/Albiona Shehu/Desktop/Pulsar Project/candidates_from_CSIRO/CSIRO_J0437/Profile/Fold_Binary_MSP_Search_DM26.90_Cand8_Profile.png,26.9,Fold_Binary_MSP_Search_DM26.90_Cand8
Fold_Iso_Slow_Search_DM116.60_Cand14,0,CSIRO_J1048,/mnt/c/Users/Albiona Shehu/Desktop/Pulsar Project/candidates_from_CSIRO/CSIRO_J1048/Profile/Fold_Iso_Slow_Search_DM116.60_Cand14_Profile.png,116.6,Fold_Iso_Slow_Search_DM116.60_Cand14
Fold_Iso_Slow_Search_DM123.20_Cand41,0,CSIRO_J1048,/mnt/c/Users/Albiona Shehu/Desktop/Pulsar Project/candidates_from_CSIRO/CSIRO_J1048/Profile/Fold_Iso_Slow_Search_DM123.20_Cand41_Profile.png,123.2,Fold_Iso_Slow_Search_DM123.20_Cand41
Fold_Binary_MSP_Search_DM89.80_Cand15,0,CSIRO_J0437,/mnt/c/Users/Albiona Shehu/Desktop/Pulsar Project/candidates_from_CSIRO/CSIRO_J0437/Profile/Fold_Binary_MSP_Search_DM89.80_Cand15_Profile.png,89.8,Fold_Binary_MSP_Search_DM89.80_Cand15
1911+13,1,PALFA,/mnt/c/Users/Albiona Shehu/Desktop/Pulsar Project/candidates_from_PALFA/PALFA_AI_READY_DATASET/Profile/1911+13_Profile.png,Unknown,J1911+1301
Fold_Binary_MSP_Search_DM6.90_Cand25,0,CSIRO_J0437,/mnt/c/Users/Albiona Shehu/Desktop/Pulsar Project/candidates_from_CSIRO/CSIRO_J0437/Profile/Fold_Binary_MSP_Search_DM6.90_Cand25_Profile.png,6.9,Fold_Binary_MSP_Search_DM6.90_Cand25
Fold_Binary_MSP_Search_DM3.70_Cand31,1,CSIRO_J0437,/mnt/c/Users/Albiona Shehu/Desktop/Pulsar Project/candidates_from_CSIRO/CSIRO_J0437/Profile/Fold_Binary_MSP_Search_DM3.70_Cand31_Profile.png,3.7,CSIRO_J0437
Fold_Binary_MSP_Search_DM10.40_Cand18,0,CSIRO_J0437,/mnt/c/Users/Albiona Shehu/Desktop/Pulsar Project/candidates_from_CSIRO/CSIRO_J0437/Profile/Fold_Binary_MSP_Search_DM10.40_Cand18_Profile.png,10.4,Fold_Binary_MSP_Search_DM10.40_Cand18
Fold_Binary_MSP_Search_DM64.20_Cand19,0,CSIRO_J0437,/mnt/c/Users/Albiona Shehu/Desktop/Pulsar Project/candidates_from_CSIRO/CSIRO_J0437/Profile/Fold_Binary_MSP_Search_DM64.20_Cand19_Profile.png,64.2,Fold_Binary_MSP_Search_DM64.20_Cand19
Fold_Binary_MSP_Search_DM74.00_Cand16,0,CSIRO_J0437,/mnt/c/Users/Albiona Shehu/Desktop/Pulsar Project/candidates_from_CSIRO/CSIRO_J0437/Profile/Fold_Binary_MSP_Search_DM74.00_Cand16_Profile.png,74.0,Fold_Binary_MSP_Search_DM74.00_Cand16
Fold_Binary_MSP_Search_DM70.60_Cand18,0,CSIRO_J0437,/mnt/c/Users/Albiona Shehu/Desktop/Pulsar Project/candidates_from_CSIRO/CSIRO_J0437/Profile/Fold_Binary_MSP_Search_DM70.60_Cand18_Profile.png,70.6,Fold_Binary_MSP_Search_DM70.60_Cand18
p2030.20100428.G45.68+01.44.C.b6g0,1,PALFA,/mnt/c/Users/Albiona Shehu/Desktop/Pulsar Project/candidates_from_PALFA/PALFA_AI_READY_DATASET/Profile/p2030.20100428.G45.68+01.44.C.b6g0_Profile.png,Unknown,J1909+12
